epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,19359.7,1.45807,1.43341,1.28263,1.56043,0.67044,0.63881,0.69556,0.33383,0.64395,0.62253,0.65377,0.27549,1.72912,1.28955,1.30074,1.82252,0.00932194,0.00932194,0.00932194
61,19681,1.43459,1.41173,1.24775,1.54201,0.63387,0.63907,0.66762,0.32086,0.6176,0.61511,0.62631,0.26518,1.69582,1.28137,1.32934,1.77957,0.00929932,0.00929932,0.00929932
62,20002,1.42478,1.40582,1.22704,1.52432,0.67438,0.61233,0.68206,0.33284,0.64376,0.5949,0.63649,0.26449,1.69024,1.2751,1.30627,1.7695,0.00927636,0.00927636,0.00927636
63,20322.6,1.43108,1.41183,1.23486,1.53443,0.64885,0.63263,0.68546,0.33661,0.62038,0.60327,0.63045,0.26387,1.69717,1.3084,1.29272,1.76325,0.00925306,0.00925306,0.00925306
64,20643.7,1.42171,1.39632,1.20378,1.53785,0.65585,0.64981,0.69092,0.32896,0.6225,0.62701,0.63897,0.26813,1.72553,1.27794,1.29898,1.79731,0.00922942,0.00922942,0.00922942
65,20964.4,1.42444,1.42095,1.2339,1.52794,0.64711,0.6427,0.68173,0.32392,0.62393,0.61314,0.6306,0.26188,1.72628,1.29987,1.336,1.81494,0.00920545,0.00920545,0.00920545
66,21286.1,1.41661,1.43609,1.2208,1.52154,0.68567,0.56933,0.66657,0.3229,0.67007,0.54398,0.62162,0.26789,1.70652,1.2782,1.32099,1.78771,0.00918114,0.00918114,0.00918114
67,21607.4,1.41693,1.42691,1.21829,1.52554,0.66391,0.62389,0.68389,0.33713,0.63221,0.59494,0.63106,0.27125,1.69428,1.28771,1.29443,1.78613,0.00915649,0.00915649,0.00915649
68,21927.4,1.41795,1.40312,1.23441,1.52511,0.64413,0.64807,0.68684,0.32829,0.61747,0.633,0.64856,0.27425,1.70905,1.28624,1.31455,1.7995,0.00913152,0.00913152,0.00913152
69,22247.9,1.4321,1.43242,1.21002,1.5222,0.64746,0.64955,0.68997,0.32834,0.63195,0.6323,0.64842,0.2697,1.69647,1.29015,1.31221,1.81513,0.00910622,0.00910622,0.00910622
70,22570.8,1.4253,1.39768,1.21272,1.52493,0.61799,0.63391,0.66177,0.32013,0.58334,0.61728,0.61385,0.25957,1.70506,1.28875,1.32923,1.77712,0.00908059,0.00908059,0.00908059
71,22895,1.42647,1.38505,1.22043,1.5182,0.63481,0.63249,0.67079,0.32957,0.61602,0.62496,0.64192,0.26996,1.68714,1.26181,1.2988,1.7727,0.00905463,0.00905463,0.00905463
72,23218.8,1.4181,1.39756,1.21396,1.52754,0.65619,0.62895,0.68274,0.33077,0.64038,0.60068,0.64041,0.26822,1.70451,1.26449,1.29451,1.79222,0.00902836,0.00902836,0.00902836
73,23540.1,1.40016,1.39376,1.19429,1.52533,0.65917,0.61516,0.69025,0.33026,0.63325,0.59608,0.64699,0.27534,1.69723,1.25686,1.30311,1.76667,0.00900176,0.00900176,0.00900176
74,23861.6,1.41428,1.36695,1.18677,1.50879,0.65755,0.64189,0.69446,0.33975,0.63365,0.62477,0.65046,0.27902,1.66537,1.2738,1.31113,1.73728,0.00897484,0.00897484,0.00897484
75,24182.6,1.38933,1.39814,1.19984,1.50768,0.64784,0.64469,0.69832,0.33449,0.631,0.62965,0.6645,0.27791,1.67995,1.24161,1.3015,1.76535,0.00894761,0.00894761,0.00894761
76,24504.2,1.40716,1.39591,1.19885,1.5117,0.67618,0.64399,0.69963,0.34189,0.65763,0.61741,0.65829,0.27854,1.68842,1.28031,1.27153,1.77195,0.00892007,0.00892007,0.00892007
77,24825.6,1.38486,1.36402,1.18338,1.50267,0.67296,0.63992,0.68793,0.33542,0.65556,0.61652,0.64815,0.27457,1.67981,1.26213,1.28105,1.75013,0.00889221,0.00889221,0.00889221
78,25149.3,1.42269,1.3576,1.18508,1.51718,0.65806,0.64858,0.69638,0.35095,0.64667,0.6224,0.65308,0.28166,1.65637,1.25726,1.26406,1.74739,0.00886404,0.00886404,0.00886404
79,25472.1,1.40332,1.34506,1.19104,1.51962,0.64494,0.6686,0.70624,0.35166,0.63324,0.65305,0.67373,0.28638,1.64533,1.22724,1.27927,1.74255,0.00883557,0.00883557,0.00883557
80,25795.2,1.39931,1.37551,1.1762,1.50105,0.65456,0.65687,0.69428,0.34628,0.64161,0.63602,0.65682,0.28183,1.65611,1.2489,1.27149,1.7356,0.00880679,0.00880679,0.00880679
81,26118.9,1.38249,1.37157,1.17518,1.49818,0.67054,0.65055,0.69206,0.33951,0.64277,0.62984,0.64504,0.27625,1.65323,1.26677,1.28759,1.73115,0.0087777,0.0087777,0.0087777
82,26440.3,1.40679,1.38458,1.17138,1.49892,0.67327,0.67243,0.70431,0.34856,0.64669,0.64768,0.65912,0.2838,1.65125,1.24633,1.26865,1.75608,0.00874832,0.00874832,0.00874832
83,26763.3,1.39738,1.33001,1.17443,1.50085,0.65605,0.67246,0.70501,0.35344,0.63539,0.65681,0.66923,0.29105,1.6243,1.25501,1.28277,1.71659,0.00871864,0.00871864,0.00871864
84,27086.3,1.39492,1.34038,1.17044,1.50049,0.67821,0.67942,0.7078,0.3474,0.65619,0.66367,0.66912,0.28246,1.65286,1.25255,1.26611,1.73557,0.00868866,0.00868866,0.00868866
85,27408.4,1.39017,1.34739,1.16611,1.49819,0.65852,0.653,0.6974,0.35031,0.63582,0.63764,0.65511,0.29159,1.64464,1.24816,1.28665,1.72166,0.00865839,0.00865839,0.00865839
86,27733.4,1.39096,1.3617,1.1516,1.48855,0.6626,0.65362,0.68843,0.35397,0.64222,0.63225,0.64591,0.28664,1.63186,1.2689,1.26008,1.71401,0.00862783,0.00862783,0.00862783
87,28053.2,1.37005,1.37323,1.16175,1.47817,0.66979,0.67328,0.70659,0.34597,0.65599,0.65834,0.67517,0.28818,1.66547,1.22616,1.24899,1.74657,0.00859699,0.00859699,0.00859699
88,28376.7,1.38576,1.36868,1.15317,1.49309,0.67634,0.65847,0.72159,0.35464,0.65636,0.63918,0.68069,0.29915,1.63169,1.21512,1.25757,1.71934,0.00856585,0.00856585,0.00856585
89,28699.6,1.37963,1.3587,1.16793,1.50247,0.69167,0.68731,0.73019,0.36694,0.67176,0.66766,0.68989,0.30273,1.6278,1.2088,1.23828,1.7141,0.00853443,0.00853443,0.00853443
90,29022.1,1.39254,1.37377,1.14939,1.5028,0.66198,0.6924,0.71406,0.35714,0.63418,0.67598,0.66932,0.29182,1.63213,1.22975,1.25868,1.74208,0.00850274,0.00850274,0.00850274
91,29345.9,1.3909,1.36972,1.15414,1.50121,0.67753,0.68849,0.72807,0.36368,0.66524,0.66641,0.69382,0.30509,1.65304,1.22437,1.22903,1.72932,0.00847076,0.00847076,0.00847076
92,29668.4,1.37553,1.33755,1.12656,1.49348,0.67958,0.67688,0.71323,0.35711,0.65662,0.65214,0.66748,0.29611,1.65444,1.23604,1.25226,1.74321,0.00843851,0.00843851,0.00843851
93,29990.4,1.38454,1.34969,1.13485,1.4917,0.67908,0.67368,0.72021,0.36377,0.64875,0.65687,0.6763,0.29499,1.64982,1.21369,1.21358,1.73858,0.00840598,0.00840598,0.00840598
94,30313.2,1.37649,1.32565,1.14625,1.49867,0.6834,0.6694,0.71065,0.36185,0.65476,0.65333,0.67377,0.29496,1.62921,1.20222,1.2313,1.72148,0.00837319,0.00837319,0.00837319
95,30633.9,1.35535,1.34815,1.13338,1.48029,0.69223,0.6603,0.71112,0.3611,0.67177,0.63455,0.66851,0.29423,1.63484,1.20327,1.22637,1.73053,0.00834012,0.00834012,0.00834012
96,30957.7,1.3791,1.33472,1.133,1.49184,0.70173,0.69345,0.74642,0.37678,0.67969,0.67494,0.70385,0.31341,1.62429,1.20403,1.22903,1.7152,0.0083068,0.0083068,0.0083068
97,31280.1,1.35037,1.31571,1.12075,1.47471,0.69149,0.67947,0.72749,0.37451,0.67169,0.66135,0.69093,0.30612,1.62423,1.1995,1.21215,1.70693,0.00827321,0.00827321,0.00827321
98,31603.3,1.35391,1.3285,1.12536,1.46733,0.66826,0.67013,0.71013,0.35567,0.65003,0.65869,0.66774,0.2929,1.62778,1.19093,1.23144,1.72239,0.00823936,0.00823936,0.00823936
99,31929,1.35087,1.32995,1.12026,1.47451,0.70156,0.6894,0.74956,0.38395,0.67503,0.67169,0.69532,0.31334,1.59971,1.18742,1.2084,1.70868,0.00820525,0.00820525,0.00820525
100,32254.2,1.35856,1.30902,1.13928,1.49555,0.67699,0.71062,0.73564,0.37203,0.66207,0.69011,0.6959,0.30913,1.61559,1.18201,1.20044,1.7247,0.00817089,0.00817089,0.00817089
101,32582.4,1.37128,1.34639,1.11807,1.48574,0.69126,0.6867,0.72399,0.37344,0.66826,0.66448,0.686,0.30964,1.60329,1.18551,1.20968,1.69984,0.00813627,0.00813627,0.00813627
102,32909.7,1.32536,1.30739,1.08962,1.45618,0.69472,0.70323,0.73065,0.37059,0.67124,0.68001,0.68868,0.30606,1.60434,1.18714,1.19324,1.69028,0.00810141,0.00810141,0.00810141
103,33231.5,1.36063,1.31242,1.11311,1.4829,0.68503,0.69168,0.74296,0.3848,0.66818,0.67518,0.70556,0.31795,1.60923,1.1939,1.19159,1.71516,0.00806631,0.00806631,0.00806631
104,33554.3,1.32771,1.32352,1.10664,1.46388,0.67679,0.68636,0.73337,0.38301,0.65231,0.67033,0.69283,0.31947,1.59163,1.19087,1.20993,1.69429,0.00803096,0.00803096,0.00803096
105,33877,1.34507,1.29094,1.10309,1.4708,0.69942,0.70412,0.74774,0.37409,0.67726,0.69309,0.71214,0.31803,1.61156,1.17921,1.19735,1.71154,0.00799536,0.00799536,0.00799536
106,34200.7,1.34784,1.29812,1.08986,1.46131,0.68592,0.68658,0.73436,0.37387,0.66927,0.66794,0.69447,0.3116,1.6155,1.18652,1.17939,1.68962,0.00795954,0.00795954,0.00795954
107,34522.3,1.35685,1.28618,1.08177,1.45874,0.70232,0.70122,0.74483,0.38582,0.68789,0.68134,0.71363,0.32276,1.59796,1.18411,1.18128,1.67304,0.00792347,0.00792347,0.00792347
108,34843.7,1.33795,1.31377,1.09455,1.46136,0.67804,0.68234,0.73379,0.38317,0.6571,0.67475,0.7019,0.31978,1.59819,1.18354,1.18679,1.6944,0.00788718,0.00788718,0.00788718
109,35167.3,1.34247,1.31484,1.0853,1.46122,0.66546,0.68349,0.73756,0.38568,0.63546,0.66736,0.69969,0.32207,1.59467,1.16928,1.1848,1.6849,0.00785066,0.00785066,0.00785066
110,35488.6,1.3255,1.28145,1.08628,1.45753,0.68817,0.68755,0.73785,0.37984,0.66705,0.67648,0.69765,0.31529,1.59795,1.15806,1.20387,1.68356,0.00781391,0.00781391,0.00781391
111,35809.7,1.34694,1.30769,1.08198,1.47518,0.70465,0.71091,0.74804,0.38358,0.68881,0.69852,0.71309,0.31902,1.60886,1.16946,1.18007,1.69452,0.00777694,0.00777694,0.00777694
112,36131,1.35075,1.32283,1.08624,1.48018,0.69067,0.70797,0.74937,0.38945,0.67451,0.69658,0.71432,0.32352,1.58833,1.14906,1.18058,1.68143,0.00773975,0.00773975,0.00773975
113,36452.6,1.33376,1.31543,1.09078,1.46382,0.69901,0.70238,0.75691,0.39511,0.68908,0.68233,0.72222,0.32618,1.57894,1.14051,1.16145,1.6765,0.00770234,0.00770234,0.00770234
114,36775.8,1.34636,1.3017,1.07555,1.46227,0.69745,0.69695,0.75263,0.39044,0.67687,0.68418,0.72109,0.32907,1.59598,1.14546,1.19074,1.67102,0.00766472,0.00766472,0.00766472
115,37098,1.3418,1.26852,1.08552,1.46639,0.67838,0.68461,0.7427,0.39274,0.67229,0.66858,0.70814,0.32937,1.56817,1.1526,1.1714,1.67623,0.00762689,0.00762689,0.00762689
116,37419,1.32675,1.29027,1.05993,1.45969,0.71382,0.71244,0.77046,0.39972,0.69988,0.697,0.73261,0.33354,1.582,1.15117,1.15989,1.68151,0.00758885,0.00758885,0.00758885
117,37741,1.31893,1.31817,1.06554,1.45588,0.69495,0.70611,0.75896,0.39577,0.67156,0.6896,0.72511,0.33037,1.57149,1.14773,1.16099,1.67204,0.00755061,0.00755061,0.00755061
118,38064.7,1.33443,1.30493,1.06464,1.45551,0.72074,0.69424,0.76638,0.40046,0.69071,0.68038,0.72844,0.33188,1.59018,1.15909,1.1483,1.67741,0.00751216,0.00751216,0.00751216
119,38387.3,1.34763,1.33438,1.07703,1.47517,0.70473,0.70048,0.75688,0.38361,0.68355,0.69092,0.71238,0.32052,1.5937,1.1512,1.17877,1.67916,0.00747352,0.00747352,0.00747352
120,38710.6,1.31095,1.25267,1.05277,1.44189,0.68812,0.68775,0.74261,0.3877,0.66736,0.67033,0.70299,0.32291,1.57953,1.15902,1.17395,1.67862,0.00743468,0.00743468,0.00743468
121,39033.2,1.31765,1.27536,1.05663,1.44561,0.70035,0.6959,0.75969,0.39292,0.67859,0.67488,0.71746,0.3301,1.58694,1.14501,1.16129,1.67806,0.00739565,0.00739565,0.00739565
122,39356.4,1.32122,1.28996,1.05189,1.45227,0.7025,0.69338,0.76195,0.39659,0.67484,0.67898,0.71644,0.32963,1.57382,1.16239,1.16234,1.67129,0.00735643,0.00735643,0.00735643
123,39680.3,1.32537,1.25242,1.07253,1.46187,0.71382,0.69995,0.76751,0.39918,0.69843,0.68549,0.73017,0.32956,1.5832,1.15248,1.17176,1.68855,0.00731702,0.00731702,0.00731702
124,40002,1.32065,1.27915,1.04724,1.44239,0.72034,0.72954,0.78317,0.41255,0.6984,0.72017,0.74373,0.34625,1.57075,1.14399,1.12929,1.66466,0.00727744,0.00727744,0.00727744
125,40324.8,1.29554,1.24979,1.03416,1.42973,0.70138,0.71725,0.77592,0.41148,0.69381,0.70083,0.74009,0.34485,1.56288,1.13728,1.13891,1.64886,0.00723767,0.00723767,0.00723767
126,40648.1,1.32474,1.2558,1.04282,1.44328,0.7249,0.72084,0.78195,0.40914,0.70294,0.69959,0.74047,0.3385,1.57719,1.12932,1.13326,1.65082,0.00719772,0.00719772,0.00719772
127,40971.3,1.31068,1.27581,1.04757,1.44295,0.71672,0.72441,0.77382,0.40135,0.70093,0.70848,0.73902,0.33929,1.59741,1.14239,1.139,1.69159,0.00715761,0.00715761,0.00715761
128,41295.3,1.3173,1.23971,1.02816,1.44489,0.72671,0.70956,0.78083,0.40889,0.71184,0.69509,0.74111,0.33827,1.57746,1.12959,1.11968,1.67429,0.00711732,0.00711732,0.00711732
